enzyme,catalyst
gerontocracy,government ruled by old people
apt,well-suited; quick-witted
pest,destructive thing or a person who is nuisance
ossified,turned to bone; hardened like bone; Inflexible
torque,twisting force causing rotation
surcharge,additional load/charge
scent,smell (especially pleasant)
abysmal,extreme bad
perish,be destroyed decay
affable,polite and friendly
turmoil,trouble disturbance
amalgamate,mix; combine; unite societies
appease,make quiet or calm
moderation,quality of being limited; not extreme
jabber,talk excitedly; utter rapidly
abscond,to go away suddenly (to avoid arrest)
introvert,one who turns towards himself
dullard,a stupid, insensitive person"
acclaimed,welcomed with shouts and approval
sawdust,tiny bits of wood
calipers,metal supports attached to the legs measuring instrument
grievous,causing grief or pain; serious dire grave
pluck,pull the feathers off pick (e.g.. flowers)
hospitable,liking to give hospitality
somersault,rolling backward or forward (not sideways) movement
grumble,to complain
loll,rest to sit or stand in a lazy way hang (dog's tongue)
bewilder,puzzle; confuse
philanthropist,one who loves mankind
